link,keyword,title,company,company_link,date
https://ph.linkedin.com/jobs/view/quality-assurance-specialist-at-prospus-3727296075?refId=Joym%2ByANMISZy8UXZmvtzg%3D%3D&trackingId=oS5smd4e16qOShL5L6FDrg%3D%3D&position=20&pageNum=0&trk=public_jobs_jserp-result_search-card,testing and quality assurance,Quality Assurance Specialist,Prospus,https://in.linkedin.com/company/prospus?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-10-03
https://ph.linkedin.com/jobs/view/urgent-qa-qc-engineer-pampanga-at-planate-management-group-3716096470?refId=Joym%2ByANMISZy8UXZmvtzg%3D%3D&trackingId=bZkp7a%2FXWTAFUMe%2Fx4VYbA%3D%3D&position=21&pageNum=0&trk=public_jobs_jserp-result_search-card,testing and quality assurance,URGENT: QA/QC Engineer  (Pampanga),Planate Management Group,https://www.linkedin.com/company/planatemg?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-09-14
https://ph.linkedin.com/jobs/view/software-qa-tester-at-prescribe-digital-3727706370?refId=Joym%2ByANMISZy8UXZmvtzg%3D%3D&trackingId=9iIFDKpNgIx5JIgSVaBArA%3D%3D&position=22&pageNum=0&trk=public_jobs_jserp-result_search-card,testing and quality assurance,Software QA Tester,Prescribe Digital,https://uk.linkedin.com/company/prescribe-digital?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-10-03
https://ph.linkedin.com/jobs/view/software-test-engineer-at-nxscale-3691814780?refId=Joym%2ByANMISZy8UXZmvtzg%3D%3D&trackingId=25JY56zVHQOhyKDTY%2FboVg%3D%3D&position=23&pageNum=0&trk=public_jobs_jserp-result_search-card,testing and quality assurance,Software Test Engineer,nXscale,https://ph.linkedin.com/company/nxscale?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-07-21
https://ph.linkedin.com/jobs/view/qa-engineer-at-boundless-immigration-3658125935?refId=Joym%2ByANMISZy8UXZmvtzg%3D%3D&trackingId=YjJ4%2FlsuMxBXf4cArLsA1g%3D%3D&position=24&pageNum=0&trk=public_jobs_jserp-result_search-card,testing and quality assurance,QA Engineer,Boundless Immigration,https://www.linkedin.com/company/boundless-immigration?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-10-01
https://ph.linkedin.com/jobs/view/quality-assurance-quality-control-client-support-at-aquip-io-3726963570?refId=Joym%2ByANMISZy8UXZmvtzg%3D%3D&trackingId=PjNszo6ASAPBh%2BwMug%2FYaQ%3D%3D&position=25&pageNum=0&trk=public_jobs_jserp-result_search-card,testing and quality assurance,Quality Assurance/Quality Control/Client Support,Aquip.io,https://sg.linkedin.com/company/aquip-io?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-10-02
https://ph.linkedin.com/jobs/view/senior-engineer-telecommunication-i-at-eram-talent-3718632454?refId=bfF%2BYD6eyB8nc4BuKO6M3g%3D%3D&trackingId=XpWiFE%2BaXtNzC%2B%2Fhu%2FROMQ%3D%3D&position=1&pageNum=0&trk=public_jobs_jserp-result_search-card,networking and infrastructure,Senior Engineer(Telecommunication) - I,Eram Talent,https://sa.linkedin.com/company/eramtalent?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-09-12
https://ph.linkedin.com/jobs/view/it-support-analyst-saudi-arabia-at-eram-talent-3712645648?refId=bfF%2BYD6eyB8nc4BuKO6M3g%3D%3D&trackingId=N5tmAuNqZMGNtbCm6ULbkA%3D%3D&position=2&pageNum=0&trk=public_jobs_jserp-result_search-card,networking and infrastructure,IT Support Analyst (Saudi Arabia),Eram Talent,https://sa.linkedin.com/company/eramtalent?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-09-07
https://ph.linkedin.com/jobs/view/it-manager-at-inquirer-net-3695205331?refId=bfF%2BYD6eyB8nc4BuKO6M3g%3D%3D&trackingId=sKvAcwdLmBdq6R%2BJ6llrCA%3D%3D&position=3&pageNum=0&trk=public_jobs_jserp-result_search-card,networking and infrastructure,IT Manager,INQUIRER.net,https://ph.linkedin.com/company/inquirerdotnet?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-08-16
https://ph.linkedin.com/jobs/view/it-infrastructure-administrator-at-gardenia-bakeries-philippines-inc-3702385127?refId=bfF%2BYD6eyB8nc4BuKO6M3g%3D%3D&trackingId=Cy0%2FEwL3%2FVFuVsvRdPbKDA%3D%3D&position=4&pageNum=0&trk=public_jobs_jserp-result_search-card,networking and infrastructure,IT Infrastructure Administrator,"Gardenia Bakeries (Philippines), Inc.",https://ph.linkedin.com/company/gbpi-careers?trk=public_jobs_jserp-result_job-search-card-subtitle,2023-08-03
